GROUP;bdate;year.bdate;bday.count;city.id;city.title;amount.city;country.id;country.title;deactivated;last_seen.platform;last_seen.time;online;online_app;online_mobile;sex
1;2.2.1984;1984;287;3454.0;Severodonetsk;11;2.0;Ukraine;;5.0;1477409514.0;0;;;1
1;11.3.1984;1984;287;94.0;Nizhnekamsk;20;1.0;Russia;;7.0;1432097220.0;0;;;2
1;27.8.1984;1984;287;112.0;Petrozavodsk;342;1.0;Russia;;1.0;1546109273.0;1;;1.0;1
1;4.1.1984;1984;287;3521.0;Makeevka;15;2.0;Ukraine;;7.0;1545553261.0;0;;;2
1;17.1.1984;1984;287;;;0;;;;4.0;1442126787.0;0;;;2
1;3.4.1984;1984;287;73.0;Krasnoyarsk;127;1.0;Russia;;4.0;1546104817.0;0;;;2
1;10.7.1984;1984;287;627.0;Simferopol;114;1.0;Russia;;4.0;1546107525.0;0;;;1
1;13.3.1984;1984;287;650.0;Dnipropetrovsk (Dnipro);226;2.0;Ukraine;;7.0;1444763606.0;0;;;2
1;5.12.1984;1984;287;1113414.0;Yasnye Polyany;1;1.0;Russia;;4.0;1546092115.0;0;;;1
1;24.5.1984;1984;287;1057.0;Lviv;210;2.0;Ukraine;;4.0;1478196990.0;0;;;2
1;20.12.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;7.0;1517135136.0;0;;;1
1;12.10.1984;1984;287;73.0;Krasnoyarsk;127;1.0;Russia;;7.0;1451304709.0;0;;;2
1;26.5.1984;1984;287;467.0;Mogilev;30;3.0;Belarus;;7.0;1486310945.0;0;;;2
1;24.10.1984;1984;287;41.0;Vologda;250;1.0;Russia;;1.0;1546099458.0;0;;;1
1;13.2.1984;1984;287;42.0;Voronezh;121;1.0;Russia;;1.0;1545844754.0;0;;;1
1;10.3.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;1.0;1449081758.0;0;;;2
1;7.1.1984;1984;287;;;0;1.0;Russia;;7.0;1546027506.0;0;;;1
1;6.6.1984;1984;287;60.0;Kazan;219;1.0;Russia;;2.0;1546052264.0;0;;;1
1;21.2.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;4.0;1546089798.0;0;;;1
